page,total_page,loc_code,string1,string2,string3,string4,string5,string6
1,16071,"Lokasi Formasi : 30102461","KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","Sekretariat Jenderal","Biro Hukum 10 Jenis Formasi : 1","UMUM 7",NULL,NULL
2,16071,"Lokasi Formasi : 30102461","KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","Sekretariat Jenderal","Biro Hukum 10 Jenis Formasi : 1","UMUM 7",NULL,NULL
3,16071,"Lokasi Formasi : 30102461","KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","Sekretariat Jenderal","Biro Hukum 10 Jenis Formasi : 4","LULUSAN TERBAIK 2",NULL,NULL
4,16071,"Lokasi Formasi : 30102461","KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","Sekretariat Jenderal","Biro Hukum 10 Jenis Formasi : 4","LULUSAN TERBAIK 2",NULL,NULL
5,16071,"Lokasi Formasi : 30102461","KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","Sekretariat Jenderal","Biro Hukum 10 Jenis Formasi : 9","PUTRA/PUTRI KALIMANTAN 1",NULL,NULL
6,16071,"Lokasi Formasi : 30102461","KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","Sekretariat Jenderal","Biro Hukum 10 Jenis Formasi : 9","PUTRA/PUTRI KALIMANTAN 1",NULL,NULL
7,16071,30100009,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Jember","Fakultas Pertanian","Program Studi Sarjana (S1) Ilmu Pertanian Perkebunan","Fakultas Pertanian"
8,16071,30100009,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Jember","Fakultas Pertanian","Program Studi Sarjana (S1) Ilmu Pertanian Perkebunan","Fakultas Pertanian"
9,16071,30100018,"Sains dan Teknologi","Jurusan Matematika dan Ilmu Pengetahuan Alam Fakultas Sains dan Teknologi","Prodi S1 Biologi Fakultas Sains 1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Jambi","Fakultas dan Teknologi"
10,16071,30100018,"Sains dan Teknologi","Jurusan Matematika dan Ilmu Pengetahuan Alam Fakultas Sains dan Teknologi","Prodi S1 Biologi Fakultas Sains 1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Jambi","Fakultas dan Teknologi"
11,16071,30100020,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Mulawarman","Fakultas Ilmu Budaya","Prodi S1 Sastra Inggris Fakultas Ilmu Budaya",NULL
12,16071,30100020,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Mulawarman","Fakultas Ilmu Budaya","Prodi S1 Sastra Inggris Fakultas Ilmu Budaya",NULL
13,16071,30100020,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Mulawarman","Fakultas Ilmu Budaya","Prodi S1 Sastra Inggris Fakultas Ilmu Budaya",NULL
14,16071,30100020,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Mulawarman","Fakultas Ilmu Budaya","Prodi S1 Sastra Inggris Fakultas Ilmu Budaya",NULL
15,16071,30100043,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Mulawarman","Fakultas Ilmu Sosial dan Ilmu Politik","Prodi S1 Psikologi Fakultas Ilmu Sosial dan Ilmu Politik",NULL
16,16071,30100043,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Mulawarman","Fakultas Ilmu Sosial dan Ilmu Politik","Prodi S1 Psikologi Fakultas Ilmu Sosial dan Ilmu Politik",NULL
17,16071,30100048,"2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Riau",Pascasarjana,"Prodi S2 Perencanaan Wilayah dan Perdesaan Pascasarjana",NULL
18,16071,30100048,"2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Riau",Pascasarjana,"Prodi S2 Perencanaan Wilayah dan Perdesaan Pascasarjana",NULL
19,16071,30100051,"5 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Makassar","Program Pascasarjana","Program Studi S2 Pendidikan Biologi Program Pascasarjana",NULL
20,16071,30100051,"5 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Makassar","Program Pascasarjana","Program Studi S2 Pendidikan Biologi Program Pascasarjana",NULL
21,16071,30100051,"5 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Makassar","Program Pascasarjana","Program Studi S2 Pendidikan Biologi Program Pascasarjana",NULL
22,16071,30100051,"5 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Makassar","Program Pascasarjana","Program Studi S2 Pendidikan Biologi Program Pascasarjana",NULL
23,16071,30100051,"5 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Makassar","Program Pascasarjana","Program Studi S2 Pendidikan Biologi Program Pascasarjana",NULL
24,16071,30100051,"5 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Makassar","Program Pascasarjana","Program Studi S2 Pendidikan Biologi Program Pascasarjana",NULL
25,16071,30100056,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Samudra","Fakultas Pertanian","Prodi S1 Akuakultur Fakultas Pertanian",NULL
26,16071,30100056,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Samudra","Fakultas Pertanian","Prodi S1 Akuakultur Fakultas Pertanian",NULL
27,16071,30100070,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Institut Teknologi Kalimantan","Fakultas Pembangunan Berkelanjutan","Prodi S1 Teknik Perkapalan Fakultas Pembangunan Berkelanjutan",NULL
28,16071,30100070,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Institut Teknologi Kalimantan","Fakultas Pembangunan Berkelanjutan","Prodi S1 Teknik Perkapalan Fakultas Pembangunan Berkelanjutan",NULL
29,16071,30100077,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Pembangunan Nasional "Veteran"" Jakarta"","Fakultas Teknik","Program Studi S-1 Teknik Perkapalan Fakultas Teknik",NULL
30,16071,30100077,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Pembangunan Nasional "Veteran"" Jakarta"","Fakultas Teknik","Program Studi S-1 Teknik Perkapalan Fakultas Teknik",NULL
31,16071,30100082,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Institut Seni Budaya Indonesia Tanah Papua","Jurusan Seni Pertunjukan","Program Studi Seni Tari Jurusan Seni Pertunjukan",NULL
32,16071,30100082,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Institut Seni Budaya Indonesia Tanah Papua","Jurusan Seni Pertunjukan","Program Studi Seni Tari Jurusan Seni Pertunjukan",NULL
33,16071,30100083,"2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Medan","Fakultas Matematika dan Ilmu Pengetahuan Alam","Prodi S1 Pendidikan Ilmu Pengetahuan Alam",NULL
34,16071,30100083,"2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Medan","Fakultas Matematika dan Ilmu Pengetahuan Alam","Prodi S1 Pendidikan Ilmu Pengetahuan Alam",NULL
35,16071,30100088,"5 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Makassar","Program Pascasarjana","Program Studi S2 Pendidikan Fisika dan Fisika Sains Program Pascasarjana",NULL
36,16071,30100088,"5 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Makassar","Program Pascasarjana","Program Studi S2 Pendidikan Fisika dan Fisika Sains Program Pascasarjana",NULL
37,16071,30100088,"5 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Makassar","Program Pascasarjana","Program Studi S2 Pendidikan Fisika dan Fisika Sains Program Pascasarjana",NULL
38,16071,30100088,"5 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Makassar","Program Pascasarjana","Program Studi S2 Pendidikan Fisika dan Fisika Sains Program Pascasarjana",NULL
39,16071,30100088,"5 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Makassar","Program Pascasarjana","Program Studi S2 Pendidikan Fisika dan Fisika Sains Program Pascasarjana",NULL
40,16071,30100088,"5 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Makassar","Program Pascasarjana","Program Studi S2 Pendidikan Fisika dan Fisika Sains Program Pascasarjana",NULL
41,16071,30100095,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Politeknik Negeri Lampung","Jurusan Teknologi Pertanian","Program Studi S1 Tr. Teknologi Rekayasa Kimia Industri",NULL
42,16071,30100095,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Politeknik Negeri Lampung","Jurusan Teknologi Pertanian","Program Studi S1 Tr. Teknologi Rekayasa Kimia Industri",NULL
43,16071,30100100,"2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Politeknik Negeri Sambas","Jurusan Manajemen Informatika",NULL,NULL
44,16071,30100100,"2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Politeknik Negeri Sambas","Jurusan Manajemen Informatika",NULL,NULL
45,16071,30100100,"2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Politeknik Negeri Sambas","Jurusan Manajemen Informatika",NULL,NULL
46,16071,30100100,"2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Politeknik Negeri Sambas","Jurusan Manajemen Informatika",NULL,NULL
47,16071,30100102,"2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Makassar","Fakultas Matematika dan Ilmu Pengetahuan Alam","Program Studi S1 Statistika Fakultas Matematika dan Ilmu Pengetahuan Alam",NULL
48,16071,30100102,"2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Makassar","Fakultas Matematika dan Ilmu Pengetahuan Alam","Program Studi S1 Statistika Fakultas Matematika dan Ilmu Pengetahuan Alam",NULL
49,16071,30100116,"2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Makassar","Program Pascasarjana","Program Studi S2 Penelitian dan Evaluasi Pendidikan",NULL
50,16071,30100116,"2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Makassar","Program Pascasarjana","Program Studi S2 Penelitian dan Evaluasi Pendidikan",NULL
51,16071,30100129,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Institut Teknologi Sumatera","Fakultas Teknologi Industri","Prodi S1 Teknik Sistem Energi Fakultas Teknologi Industri",NULL
52,16071,30100129,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Institut Teknologi Sumatera","Fakultas Teknologi Industri","Prodi S1 Teknik Sistem Energi Fakultas Teknologi Industri",NULL
53,16071,30100134,"Keguruan dan Ilmu Pendidikan","Jurusan Pendidikan Bahasa dan Sastra Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1 Pendidikan 2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Jambi","Fakultas Bahasa Arab Fakultas Keguruan dan Ilmu Pendidikan"
54,16071,30100134,"Keguruan dan Ilmu Pendidikan","Jurusan Pendidikan Bahasa dan Sastra Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1 Pendidikan 2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Jambi","Fakultas Bahasa Arab Fakultas Keguruan dan Ilmu Pendidikan"
55,16071,30100143,"Nasional "Veteran"" Jakarta"","Fakultas Ilmu Sosial dan Ilmu Politik","Jurusan Ilmu Politik Fakultas Ilmu Sosial dan Ilmu Politik","Program 1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Pembangunan Studi S-2 Ilmu Politik Jurusan Ilmu Politik Fakultas Ilmu Sosial dan Ilmu Politik"
56,16071,30100143,"Nasional "Veteran"" Jakarta"","Fakultas Ilmu Sosial dan Ilmu Politik","Jurusan Ilmu Politik Fakultas Ilmu Sosial dan Ilmu Politik","Program 1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Pembangunan Studi S-2 Ilmu Politik Jurusan Ilmu Politik Fakultas Ilmu Sosial dan Ilmu Politik"
57,16071,30100151,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Teuku Umar","Fakultas Pertanian","Program Studi S1 Teknologi Hasil Pertanian",NULL
58,16071,30100151,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Teuku Umar","Fakultas Pertanian","Program Studi S1 Teknologi Hasil Pertanian",NULL
59,16071,30100157,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Tadulako","Fakultas Pertanian","Jurusan Sosial Ekonomi Pertanian Fakultas Pertanian","Prodi S1 Agribisnis Jurusan Sosial Ekonomi Pertanian"
60,16071,30100157,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Tadulako","Fakultas Pertanian","Jurusan Sosial Ekonomi Pertanian Fakultas Pertanian","Prodi S1 Agribisnis Jurusan Sosial Ekonomi Pertanian"
61,16071,30100159,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Sultan Ageng Tirtayasa","Fakultas Teknik","Jurusan Teknik Elektro Fakultas Teknik",NULL
62,16071,30100159,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Sultan Ageng Tirtayasa","Fakultas Teknik","Jurusan Teknik Elektro Fakultas Teknik",NULL
63,16071,30100159,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Sultan Ageng Tirtayasa","Fakultas Teknik","Jurusan Teknik Elektro Fakultas Teknik",NULL
64,16071,30100159,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Sultan Ageng Tirtayasa","Fakultas Teknik","Jurusan Teknik Elektro Fakultas Teknik",NULL
65,16071,30100164,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Jember","Fakultas Keperawatan","Program Studi Magister (S2) Keperawatan","Fakultas Keperawatan"
66,16071,30100164,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Jember","Fakultas Keperawatan","Program Studi Magister (S2) Keperawatan","Fakultas Keperawatan"
67,16071,30100165,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Riau","Fakultas Kedokteran","Jurusan Klinik Fakultas Kedokteran","Prodi S2 Ilmu Biomedis Jurusan Klinik"
68,16071,30100165,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Riau","Fakultas Kedokteran","Jurusan Klinik Fakultas Kedokteran","Prodi S2 Ilmu Biomedis Jurusan Klinik"
69,16071,30100169,"2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Politeknik Negeri Ujung Pandang","Jurusan Teknik Informatika dan Komputer","D4 Teknik Multimedia dan Jaringan",NULL
70,16071,30100169,"2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Politeknik Negeri Ujung Pandang","Jurusan Teknik Informatika dan Komputer","D4 Teknik Multimedia dan Jaringan",NULL
71,16071,30100177,"2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Riau",Pascasarjana,"Prodi S2 Ilmu Lingkungan Pascasarjana",NULL
72,16071,30100177,"2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Riau",Pascasarjana,"Prodi S2 Ilmu Lingkungan Pascasarjana",NULL
73,16071,30100180,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Jakarta","Fakultas Ilmu Pendidikan","Program Studi S1 Manajemen Pendidikan Fakultas Ilmu Pendidikan",NULL
74,16071,30100180,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Jakarta","Fakultas Ilmu Pendidikan","Program Studi S1 Manajemen Pendidikan Fakultas Ilmu Pendidikan",NULL
75,16071,30100183,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Bengkulu","Fakultas Pertanian","Prodi S2 Agribisnis",NULL
76,16071,30100183,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Bengkulu","Fakultas Pertanian","Prodi S2 Agribisnis",NULL
77,16071,30100183,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Bengkulu","Fakultas Pertanian","Prodi S2 Agribisnis",NULL
78,16071,30100183,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Bengkulu","Fakultas Pertanian","Prodi S2 Agribisnis",NULL
79,16071,30100185,Kedokteran,"Bagian Kebidanan dan Kandungan Fakultas Kedokteran","Program Studi Sp-2 Ilmu Kebidanan dan Penyakit Kandungan 8 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Sriwijaya","Fakultas Bagian Kebidanan dan Kandungan Fakultas Kedokteran"
80,16071,30100185,Kedokteran,"Bagian Kebidanan dan Kandungan Fakultas Kedokteran","Program Studi Sp-2 Ilmu Kebidanan dan Penyakit Kandungan 8 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Sriwijaya","Fakultas Bagian Kebidanan dan Kandungan Fakultas Kedokteran"
81,16071,30100185,Kedokteran,"Bagian Kebidanan dan Kandungan Fakultas Kedokteran","Program Studi Sp-2 Ilmu Kebidanan dan Penyakit Kandungan 8 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Sriwijaya","Fakultas Bagian Kebidanan dan Kandungan Fakultas Kedokteran"
82,16071,30100185,Kedokteran,"Bagian Kebidanan dan Kandungan Fakultas Kedokteran","Program Studi Sp-2 Ilmu Kebidanan dan Penyakit Kandungan 8 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Sriwijaya","Fakultas Bagian Kebidanan dan Kandungan Fakultas Kedokteran"
83,16071,30100199,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Institut Teknologi Sumatera","Fakultas Sains","Prodi S1 Farmasi Fakultas Sains",NULL
84,16071,30100199,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Institut Teknologi Sumatera","Fakultas Sains","Prodi S1 Farmasi Fakultas Sains",NULL
85,16071,30100199,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Institut Teknologi Sumatera","Fakultas Sains","Prodi S1 Farmasi Fakultas Sains",NULL
86,16071,30100199,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Institut Teknologi Sumatera","Fakultas Sains","Prodi S1 Farmasi Fakultas Sains",NULL
87,16071,30100234,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Makassar","Program Pascasarjana","Program Studi S2 Pendidikan Seni Rupa Program Pascasarjana",NULL
88,16071,30100234,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Makassar","Program Pascasarjana","Program Studi S2 Pendidikan Seni Rupa Program Pascasarjana",NULL
89,16071,30100234,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Makassar","Program Pascasarjana","Program Studi S2 Pendidikan Seni Rupa Program Pascasarjana",NULL
90,16071,30100234,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Negeri Makassar","Program Pascasarjana","Program Studi S2 Pendidikan Seni Rupa Program Pascasarjana",NULL
91,16071,30100261,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Pembangunan Nasional "Veteran"" Jawa Timur"","Fakultas Arsitektur dan Desain","Prodi S1","Arsitektur Jurusan Arsitektur"
92,16071,30100261,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Pembangunan Nasional "Veteran"" Jawa Timur"","Fakultas Arsitektur dan Desain","Prodi S1","Arsitektur Jurusan Arsitektur"
93,16071,30100272,"2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Politeknik Negeri Lampung","Jurusan Ekonomi dan Bisnis","Program Studi D3 Manajemen Informatika",NULL
94,16071,30100272,"2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Politeknik Negeri Lampung","Jurusan Ekonomi dan Bisnis","Program Studi D3 Manajemen Informatika",NULL
95,16071,30100277,"2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Politeknik Manufaktur Negeri Bandung","Jurusan Teknik Manufaktur","D4 Teknologi Rekayasa Manufaktur Jurusan Teknik Manufaktur",NULL
96,16071,30100277,"2 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Politeknik Manufaktur Negeri Bandung","Jurusan Teknik Manufaktur","D4 Teknologi Rekayasa Manufaktur Jurusan Teknik Manufaktur",NULL
97,16071,30100279,"4 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Institut Teknologi Sumatera","Fakultas Teknologi Industri","Prodi S1 Teknik Elektro Fakultas Teknologi Industri",NULL
98,16071,30100279,"4 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Institut Teknologi Sumatera","Fakultas Teknologi Industri","Prodi S1 Teknik Elektro Fakultas Teknologi Industri",NULL
99,16071,30100279,"4 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Institut Teknologi Sumatera","Fakultas Teknologi Industri","Prodi S1 Teknik Elektro Fakultas Teknologi Industri",NULL
100,16071,30100279,"4 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Institut Teknologi Sumatera","Fakultas Teknologi Industri","Prodi S1 Teknik Elektro Fakultas Teknologi Industri",NULL
